Acquisition,Preparation,Modeling,Training,Evaluation,Prediction,Others,
load_data,astype,Activation,fit,evaluate,predict,axis,
open,cast,ActivityRegularization,fit_generator,evaluate_generator,predict_generator,figure,
read,get_shape,Add,train,test_on_batch,predict_on_batch,imshow,
read_csv,image_data_format,AlphaDropout,train_model,roc_auc_score,predict_proba,show,
read_data_sets,one_hot,Average,train_on_batch,memory_usage,show_prediction,title,
get_file,prepare_image,AveragePooling1D,shuffle_batch,mean_squared_error,CatBoostClassifier,add_subplot,
imread,reshape,AveragePooling2D,Coordinator,describe,PredictGenerator,title,
load_img,set_image_data_format,AveragePooling3D,start_queue_runners,gca,preds2catids,figure,
TextImageGenerator,to_categorical,BatchNormalization,LambdaCallback,mean_absolute_error,cosine_similarity,axis,
read_file,format,Bidirectional,learn,eval,score,imshow,
load_model,concatenate,cnn,fit_transform,accuracy_score,argmax,subplots,
read_data,zeros,compile,train_test_split,CrossEntropyLoss,model_pred_aug,plot,
from_records,sorted,Concatenate,rmsprop,latest_checkpoint,fit_predict,legend,
get_document_topics,shape,Conv1D,fit_one_cycle,softmax_cross_entropy_with_logits,get_fscore,subplot,
read_parquet,permute_dimensions,Conv2D,batch_iter,isin,,suptitle,
get_dummies,random_uniform,Conv2DTranspose,on_epoch_end,log_loss,,show,
from_sequence,convert_to_tensor,Conv3D,EarlyStopping,Score_eval,,WordCloud,
Input,compose_transforms,Conv3DTranspose,train_and_lab_gen_func,fit_test,,violinplot,
load_learner,transform,ConvLSTM2D,,score,,hist,
getdata,ImageDataGenerator,ConvLSTM2DCell,,,,scatterplot,
import_meta_graph,mean,Convolution1D,,,,distplot,
load_data_and_labels,expand_dims,Convolution2D,,,,legend,
load_dataset,resize,Convolution3D,,,,plot_new_feature_distribution,
GrabData,clip,convresblock,,,,barplot,
load_model,transpose,Cropping1D,,,,set_title,
,normalize,Cropping2D,,,,set_xlabel,
,img_to_array,Cropping3D,,,,set_ylabel,
,preprocess_input,CuDNNGRU,,,,distplot,
,preprocess_image,CuDNNLSTM,,,,heatmap,
,resize_img,Dense,,,,concatenate,
,gaussian_filter,DepthwiseConv2D,,,,exit,
,shuffle,Dot,,,,now,
,ones,Dropout,,,,print,
,shuffle_mats_or_lists,ELU,,,,range,
,pad_sequences,Embedding,,,,RuntimeError,
,argsort,GaussianDropout,,,,savefig,
,batch,GaussianNoise,,,,seed,
,make_one_shot_iterator,GlobalAveragePooling1D,,,,vstack,
,create_pairs,GlobalAveragePooling2D,,,,int,
,pad,GlobalAveragePooling3D,,,,ceil,
,vstack,GlobalMaxPooling1D,,,,float,
,Tokenizer,GlobalMaxPooling2D,,,,zip,
,std,GlobalMaxPooling3D,,,,len,
,affine_transform,gradients,,,,tuple,
,merge_ordered,GRU,,,,str,
,DataFrame,GRUCell,,,,randint,
,cut,LeakyReLU,,,,list,
,array,LocallyConnected1D,,,,dict,
,sort_values,LocallyConnected2D,,,,save,
,groupby,LSTM,,,,save_img,
,drop,LSTMCell,,,,text,
,LabelEncoder,Masking,,,,,
,log1p,Maximum,,,,,
,sqrt,MaxPooling1D,,,,,
,notnull,MaxPooling2D,,,,,
,sort_index,MaxPooling3D,,,,,
,normalized_flux_std,Minimum,,,,,
,normalized_amplitude,Model,,,,,
,normalized_MAD,Multiply,,,,,
,beyond_1std,Permute,,,,,
,skew,PReLU,,,,,
,arange,ReLU,,,,,
,uniform,RepeatVector,,,,,
,MinMaxScaler,RNN,,,,,
,dstack,SeparableConv1D,,,,,
,to_int32,SeparableConv2D,,,,,
,mean_iou,Sequential,,,,,
,TfidfVectorizer,SGD,,,,,
,TweetTokenizer,SimpleRNN,,,,,
,DMatrix,SimpleRNNCell,,,,,
,StratifiedKFold,Softmax,,,,,
,ImagePreprocessor,SpatialDropout1D,,,,,
,pivot_table,SpatialDropout2D,,,,,
,min_max_transf,SpatialDropout3D,,,,,
,percentile,Subtract,,,,,
,get_dummies,ThresholdedReLU,,,,,
,reduce_mem_usage,TimeDistributed,,,,,
,merge,UpSampling1D,,,,,
,stack,UpSampling2D,,,,,
,annotate,UpSampling3D,,,,,
,compass,ZeroPadding1D,,,,,
,concat,ZeroPadding2D,,,,,
,nlp_preprocessing,ZeroPadding3D,,,,,
,prepare,load_weights,,,,,
,reversed,set_weights,,,,,
,Series,add_weight,,,,,
,set_xlabel,local_conv1d,,,,,
,set_xticklabels,rmsprop,,,,,
,set_ylabel,ModelCheckpoint,,,,,
,Sparse2Corpus,LearningRateScheduler,,,,,
,split,ReduceLROnPlateau,,,,,
,to_numeric,get_layer,,,,,
,word_tokenize,get_weights,,,,,
,inverse_transform,VGG16,,,,,
,argmax,InceptionV3,,,,,
,filter_signal,Adam,,,,,
,filterwarnings,TensorBoard,,,,,
,corr,LombScargleMultiband,,,,,
,OneHotEncoder,RandomForestClassifier,,,,,
,merge_fn,LGBMClassifier,,,,,
,decode,BaseLineModel,,,,,
,neighbors,build_model,,,,,
,ParseFromString,compile_model,,,,,
,aggregate,ModelParameter,,,,,
,ToTensor,ImprovedModel,,,,,
,Compose,QuadraticDiscriminantAnalysis,,,,,
,diff,MobileNet,,,,,
,strip,get_model_wordcloud,,,,,
,scatter_matrix,ElasticNet,,,,,
,PorterStemmer,KNeighborsRegressor,,,,,
,VocabularyProcessor,DecisionTreeRegressor,,,,,
,lemmatize,SVR,,,,,
,pos_tag,BaggingRegressor,,,,,
,jaccard_distance,RandomForestRegressor,,,,,
,fillna,ExtraTreesRegressor,,,,,
,Rectangle,AdaBoostRegressor,,,,,
,median,GradientBoostingRegressor,,,,,
,logspace,XGBRegressor,,,,,
,Lasso,GaussianNB,,,,,
,categorical_conversion,LogisticRegression,,,,,
,label_encoding_conversion,GradientBoostingClassifier,,,,,
,svd,MLPRegressor,,,,,
,Oversampling,GlobalMaxPool1D,,,,,
,RandomRotate,cnn_learner,,,,,
,RandomDihedral,EfficientNetB3,,,,,
,data_prep,AdaptiveAvgPool2d,,,,,
,Doc2Vec,MaskRCNN,,,,,
,SelectPercentile,bias_add,,,,,
,set_yticks,apply_gradients,,,,,
,processData,LdaModel,,,,,
,transform_dataset,DecisionTreeClassifier,,,,,
,tf_image_loader,SVC,,,,,
,,AdaBoostClassifier,,,,,
,,KNeighborsClassifier,,,,,
,,Lasso,,,,,
,,StandardScaler,,,,,
,,DBSCAN,,,,,
,,HDBSCAN,,,,,
,,_eliminate_outliers,,,,,
,,tqdm,,,,,
,,UnetModel,,,,,
,,ConvLearner,,,,,
,,StratifiedKFold,,,,,
,,KDTree,,,,,
,,PCA,,,,,
,,LGBMRegressor,,,,,
,,KernelRidge,,,,,
,,TSNE,,,,,
,,DMatrix,,,,,
,,XGBClassifier,,,,,
,,get_model,,,,,
,,PTModel,,,,,
