URL,Type,Subtype,Notes,Properties,,,Types/ Subtypes,,,,,,,
https://github.com/Image-Py/imagepy,"Library, Framework",Framework,,"* 710 commits, 1.2k stars, 82 watching, 313 forks
* Python - 99.8%, Other 0.2%
* 18 contributors
* Readme rating: OK",,Unknown,Experiment,Library,Education,System,Unknown,,No. of identified Experiments,41
https://github.com/shahzaib-ch/open-anomaly-detection-benchmark,Tool,,Tool for anomaly detection,"* 298 commits, 1 watching, 0 forks and stars
* 1 contributor
* * 100 python
* Readme ok",,,Research,Framework,Tutorial,,,,,
https://github.com/jmculnan/multimodal_data_preprocessing,"Library, Toolset",Toolset,,"* 95 commits, 2 stats, 0 fork, 2 watching
* Python 100%
* 1 contributor
* Readme: ok",,,Development,Toolset,Assignment,,,,Count of all manually identified ML experiments = 329,
https://github.com/dimazest/fowler.corpora,"Library, Toolset",Toolset,,"* 495 commits, 1 watching, 2 stars, 2 forks, 4 tags, 
* Python - 66%, HTML, 33%
* 1 Contributor 
* Readme: ok",,,,Library,,,,,,
https://github.com/Ironhack-Data-Madrid-Agosto-2021/classroom-materials,"Education, Tutorial",Tutorial,,"*178 commits, 12 forks, 0 watching, 1 star
* 3 contributors
* 99% jupyter notebook
* readme: ok",,,,,,,,,,
https://github.com/BlueHope1987/StudyBase,"Education, Tutorial",Other,,"* 503 commits, 1 watching, 0 forks, 0 stars
* Python 53%, c++ 42%...
* 1 contributor
* Readme: Poor",,,,,,,,,,
https://github.com/abnormal-distribution/AC295_abnormal-distribution,"Education, Assignment",Assignment,Multiple assignment solutions from a class,"* 161 commits, 2 watching, 1 fork and star.
* 4 contributors
* Jupyter notebook 99%
* Readme: poor",,,,,,,,,,
https://github.com/ewancarr/NEWS2-COVID-19,"Experiment, Research",Research,"Developed as part of a research paper, but the software seems to be the main subject of the research.","* 57 commits, 5 stars, 4 watching, 4 forks
* 2 releases
* 3 contributors
* Python 100%
* Readme: OK",,,Exclusion criteria,,,,,,,
https://github.com/samet-akcay/ganomaly,"Experiment, Library, Research",Research,"Provides code for anomaly detection, now part of another library","* 76 commits, 216 forks, 26 watching, 761 stars,
* 4 contributors
* 98% python
* Readme: OK",,,"- Exclude projects with other file types beyond Python & Jupyter notebooks file types.

- Exclude projects with no readme file or less than (3) sentences (Less than 300 characters)",,,,,,,
https://github.com/Lab41/Circulo,"Library, Framework",Framework,Performs statistical analysis on graph partitioning,"* 388 commits, 34 watching, fork 39, star 78,
* 3 Releases
* contributors 5
* python 85%, C 8%, R 3%...
* Readme: OK",,,"* exclude projects with the following words in readme - ""tutorial"", ""assignment"", ""course"", ""lecture""",Non-English language?,,,,,,
https://github.com/kk17/supermarket_detection,Experiment,,,,,,"includes ""experiments""",,,,,,,
https://github.com/swufung/WassersteinBasedProjections,"Experiment,  Research",,,,,,,,,,,,,
https://github.com/juroberttyb/chatbot,,,404,,,,,,,,,,,
https://github.com/gkswamy98/adversarial_rl,Experiment,,,,,,,,,,,,,
https://github.com/BlancaCalvo/Claim-Verification-FakeNews,"Experiment, Thesis, Research",,,,,,"- Consider only projects with only 1 or 2  contributors
- Projects with less than (200) commits (Get rid of automated commits?)",,,,,,,
https://github.com/siddinc/brain_password,,,No readme,,,,,,,,,,,
https://github.com/callac/cnn_captcha,"Experiment, Education",,,,,,,NB: Number of Git branches?,,,,,,
https://github.com/sbrown97/machine-learning,"Education, Tutorial",Tutorial,,,,,,,,,,,,
https://github.com/MartinNowak96/Neuromorphic-Data-Processing,Experiment,,,,,,,,,,,,,
https://github.com/prijatelj/handwriting_recognition_with_novelty,"Experiment, Research",,,,,,,,,,,,,
https://github.com/jinu0124/Zootopia,Education,,,,,,,,,,,,,
https://github.com/anapt/3D-facial-reconstruction,"Experiment, Research, Thesis",,,,,,,,,,,,,
https://github.com/jacopotagliabue/you-dont-need-a-bigger-boat,"Education, Tutorial",,,,,,,,,,,,,
https://github.com/attilanagy234/neural-punctuator,"Experiment, Research",,,,,,,,,,,,,
https://github.com/igorbeduin/tg2_COVIDNet,Experiment,,,,,,,,,,,,,
https://github.com/AnityaGan9urde/NEWS-Headline-Classifier-project,System,,,,,,,,,,,,,
https://github.com/XuXingyu-98/Approximate_Inference,Education,,,,,,,,,,,,,
https://github.com/pauldes/nba-mvp-prediction,Experiment,,,,,,,,,,,,,
https://github.com/manujosephv/pytorch_tabular,Library,,,,,,,,,,,,,
https://github.com/jmvines20/geron,"Education, Tutorial",Tutorial,,,,,,,,,,,,
https://github.com/ctlearn-project/ctlearn,Library,,,,,,,,,,,,,
https://github.com/niksirbi/pcarpet,Library,,,,,,,,,,,,,
https://github.com/Asirg/amlpp,Experiment,,Library in development,,,,,,,,,,,
https://github.com/HUST-EIC-AI-LAB/UCADI,"Research, Framework",,"Part of a research paper, might be intended for practical use",,,,,,,,,,,
https://github.com/ai4eu/tutorials,"Education, Tutorial",Tutorial,,,,,,,,,,,,
https://github.com/sara-nl/Covid19-HPML,"Experiment, Research",,"Part of a research paper, states that it does not contain deployment-ready models",,,,,,,,,,,
https://github.com/georgeslabreche/opssat-smartcam,"Experiment, Research",,,,,,,,,,,,,
https://github.com/Italo-Pereira-Guimaraes/Machine-Learning-Engineer-Nanodegree,Education,,,,,,,,,,,,,
https://github.com/ankitbansal811/natural-language-processing-hse,Education,,,,,,,,,,,,,
https://github.com/sameh-rm/project-4,Education,,,,,,,,,,,,,
https://github.com/hello2mao/Learn-MachineLearning,Education,,,,,,,,,,,,,
https://github.com/Vikas1667/ML_Projects,Experiment,,"Collection of small samples, explorative",,,,,,,,,,,
https://github.com/AlekseySidorovDS/test1,Unknown,,No readme,,,,,,,,,,,
https://github.com/1024xx4/statistics_udemy,Education,,,,,,,,,,,,,
https://github.com/Mohamed209/Train-CRNN,Experiment,,Might be intended as something of a library,,,,,,,,,,,
https://github.com/jkerrigan/photon_sphere,Experiment,,,,,,,,,,,,,
https://github.com/thoughtworks/antiviral-peptide-predictions-using-gan,Experiment,,,,,,,,,,,,,
https://github.com/Edudeiko/dj_helper_search_api,System,,IOS app,,,,,,,,,,,
https://github.com/JinYang88/TS-anomaly,Experiment,,No readme,,,,,,,,,,,
https://github.com/jchwenger/Learning,"Education, Tutorial, experiment",,,,,,,,,,,,,
https://github.com/huading/Python,"N/A, Unknown",Collection of algorithms in Python,,,,,,,,,,,,
https://github.com/qiuchili/qnn_torch,"Experiment, Research, Publication",,,,,,,,,,,,,
https://github.com/lzw-all-in/CS224n_assignments-use-Pytorch,"Education, Experiments, assignment",Course work,,,,,,,,,,,,
https://github.com/bconstanzo/phantom,System,,,,,,,,,,,,,
https://github.com/mae-creative-pc/cpac_course_2021,"Education,  Experiments","Course Labs, Deep learning experiments",,,,,,,,,,,,
https://github.com/h4zzkR/delOS-core,System,,,,,,,,,,,,,
https://github.com/MathOnco/Mistic,Unknown,* Data analysis,,,,,,,,,,,,
https://github.com/Jack-lx-jiang/zjb-vqa,Experiment,Implementation for a video recognition contest,,,,,,,,,,,,
https://github.com/hkraemer/PECUZAL_python,Unknown,,,,,,,,,,,,,
https://github.com/minithb/CarND-Capstone,"Education, Assignment",,,,,,,,,,,,,
https://github.com/JannisHoch/copro,Toolset,* CLI tool for training models,,,,,,,,,,,,
https://github.com/ratschlab/scim,Experiment,,,,,,,,,,,,,
https://github.com/bugra/putting-tensorflow-models-to-production,Tutorial ,* Tutorial on model serving,,,,,,,,,,,,
https://github.com/mbatchkarov/dc_evaluation,Experiment,* Document classification,,,,,,,,,,,,
https://github.com/bwozniakhome/MLNano,Education,* Udacity's Machine Learning curriculum,,,,,,,,,,,,
https://github.com/max-lutz/floodwater_competition,Experiment,,,,,,,,,,,,,
https://github.com/mfmachado/adar,Tutorial,* data analysis,,,,,,,,,,,,
