Acquisition,Preparation,Modeling,Training,Evaluation,Prediction,time
0,0,0,0,0,0,2016-04-06 14:56:56-04:00
0,0,0,0,0,0,2016-04-06 19:05:27+00:00
0,0,0,0,0,0,2016-04-06 19:06:01+00:00
0,0,0,0,0,0,2016-04-06 19:10:49+00:00
0,0,0,0,0,0,2016-04-06 19:12:32+00:00
0,0,0,0,0,0,2016-04-06 19:21:43+00:00
0,0,0,0,0,0,2016-04-06 23:41:08+00:00
0,0,0,0,0,0,2016-04-09 22:15:28+00:00
0,0,0,0,0,0,2016-04-11 00:38:26+00:00
0,0,0,0,0,0,2016-04-12 00:10:56+00:00
0,0,0,0,0,0,2016-04-12 18:11:17+00:00
0,0,0,0,0,0,2016-04-14 15:22:32+00:00
0,0,0,0,0,0,2016-04-15 18:22:23+00:00
0,0,0,0,0,0,2016-04-20 15:11:00+00:00
0,0,0,0,0,0,2016-04-22 01:59:10+00:00
0,0,0,0,0,0,2016-05-03 00:23:35+00:00
0,0,0,0,0,0,2016-05-10 13:59:12+00:00
0,0,0,0,0,0,2016-05-10 18:12:30+00:00
0,0,0,0,0,0,2016-05-12 20:49:45+00:00
0,0,0,0,0,0,2016-05-19 17:28:10+00:00
0,0,0,0,0,0,2016-05-20 15:29:28+00:00
0,0,0,0,0,0,2016-05-25 19:03:38+00:00
0,0,0,0,0,0,2016-05-27 13:44:33+00:00
0,0,0,0,0,0,2016-05-27 20:18:15+00:00
0,0,0,0,0,0,2016-06-02 16:09:37+00:00
0,0,0,0,0,0,2016-06-07 13:53:53+00:00
0,0,0,0,0,0,2016-06-20 01:16:59+00:00
0,0,0,0,0,0,2016-06-20 15:50:16+00:00
0,0,0,0,0,0,2016-06-24 15:13:12+00:00
0,0,0,0,0,0,2016-06-30 14:58:07+00:00
0,0,0,0,0,0,2016-07-05 15:55:22+00:00
0,0,0,0,0,0,2016-07-08 17:58:35+00:00
0,0,0,0,0,0,2016-07-18 19:34:14+00:00
0,0,0,0,0,0,2016-07-19 14:28:57+00:00
0,0,0,0,0,0,2016-08-02 17:21:09+00:00
0,0,0,0,0,0,2016-08-02 18:23:11+00:00
0,0,0,0,0,0,2016-09-19 21:08:40+00:00
0,0,0,0,0,0,2016-09-26 17:45:29+00:00
0,0,0,0,0,0,2016-09-27 13:39:28+00:00
0,0,0,0,0,0,2016-09-27 15:35:45+00:00
0,0,0,0,0,0,2016-10-11 21:14:44+00:00
0,0,0,0,0,0,2016-11-08 21:09:56+00:00
0,0,0,0,0,0,2016-11-08 22:35:43+00:00
0,0,0,0,0,0,2016-12-07 18:32:05+00:00
0,0,0,0,0,0,2016-12-12 16:01:50+00:00
0,0,0,0,0,0,2016-12-23 19:02:39+00:00
0,0,0,0,0,0,2017-01-05 16:58:19+00:00
0,0,0,0,0,0,2017-01-09 15:43:06+00:00
0,0,0,0,0,0,2017-02-13 21:02:25+00:00
0,0,0,0,0,0,2017-03-21 14:27:56+00:00
0,0,0,0,0,0,2017-03-28 17:32:41+00:00
0,0,0,0,0,0,2017-04-10 19:30:31+00:00
0,0,0,0,0,0,2017-04-18 14:55:34+00:00
0,0,0,0,0,0,2017-04-28 18:06:37+00:00
0,0,0,0,0,0,2017-04-28 18:19:15+00:00
0,0,0,0,0,0,2017-04-28 18:19:29+00:00
0,0,0,0,0,0,2017-05-02 17:21:07+00:00
0,0,0,0,0,0,2017-05-02 17:21:39+00:00
0,0,0,0,0,0,2017-05-05 20:21:02+00:00
0,0,0,0,0,0,2017-05-16 20:02:52+00:00
0,0,0,0,0,0,2017-05-23 19:18:55+00:00
0,0,0,0,0,0,2017-05-30 17:59:55+00:00
0,0,0,0,0,0,2017-06-23 19:14:09+00:00
0,0,0,0,0,0,2017-06-26 19:18:00+00:00
0,0,0,0,0,0,2017-07-19 19:52:27+00:00
