Acquisition,Preparation,Modeling,Training,Evaluation,Prediction,time
0,0,0,0,0,0,2021-08-10 11:45:21+02:00
2,6,1,0,0,0,2021-08-10 11:57:33+02:00
1,3,1,0,0,0,2021-08-10 12:02:38+02:00
1,3,1,0,0,0,2021-08-10 12:19:37+02:00
2,3,1,0,1,0,2021-08-11 12:21:01+02:00
0,0,0,0,0,0,2021-08-11 13:50:03+02:00
0,0,0,0,0,0,2021-08-11 13:56:08+02:00
0,0,0,0,0,0,2021-08-11 14:01:05+02:00
0,0,0,0,0,0,2021-08-11 14:11:40+02:00
2,3,0,0,1,0,2021-08-12 14:45:33+02:00
3,3,0,0,0,0,2021-08-13 20:23:32+02:00
2,2,0,0,0,0,2021-08-15 15:22:23+01:00
2,2,0,0,0,0,2021-08-18 14:04:58+01:00
0,0,0,0,1,0,2021-08-19 15:45:04+01:00
0,0,0,0,1,0,2021-08-19 15:46:25+01:00
0,0,0,0,0,0,2021-08-19 16:13:11+01:00
0,0,0,0,0,0,2021-08-19 16:30:07+01:00
0,0,0,0,0,0,2021-08-19 16:33:20+01:00
0,0,0,0,0,0,2021-08-19 16:42:09+01:00
0,0,0,0,0,0,2021-08-19 17:12:05+01:00
0,0,0,0,0,0,2021-08-19 17:13:14+01:00
0,0,0,0,0,0,2021-08-19 17:17:30+01:00
2,2,0,0,0,0,2021-08-19 23:51:19+01:00
0,0,0,0,0,0,2021-08-20 14:37:49+01:00
0,0,0,0,0,0,2021-08-20 14:39:27+01:00
1,1,0,0,0,0,2021-08-20 18:15:21+01:00
0,0,0,0,0,0,2021-08-20 18:17:05+01:00
0,0,0,0,0,0,2021-08-22 13:39:26+01:00
0,2,2,0,1,0,2021-08-22 14:47:04+01:00
0,0,0,0,0,0,2021-08-22 14:50:03+01:00
0,0,0,0,1,0,2021-08-22 14:59:25+01:00
0,0,0,0,0,0,2021-08-22 15:04:19+01:00
0,1,0,0,0,0,2021-08-22 15:11:04+01:00
0,0,0,0,0,0,2021-08-22 15:33:46+01:00
0,1,0,0,0,0,2021-08-22 15:45:09+01:00
1,3,1,0,0,0,2021-08-22 16:45:23+01:00
2,2,0,0,1,0,2021-08-22 18:25:17+01:00
1,1,0,0,0,0,2021-08-22 18:26:53+01:00
1,1,0,0,0,0,2021-08-22 20:15:26+01:00
0,0,0,0,0,0,2021-08-23 09:34:30+01:00
0,0,0,0,0,0,2021-08-23 09:38:26+01:00
0,0,0,0,0,0,2021-08-23 09:59:37+01:00
2,2,0,0,1,0,2021-08-23 11:21:05+01:00
0,0,0,0,0,0,2021-08-23 11:22:14+01:00
2,2,0,0,0,0,2021-08-23 17:14:46+01:00
1,1,0,0,0,0,2021-08-24 01:38:08+01:00
0,0,0,0,0,0,2021-08-24 01:39:36+01:00
1,1,0,0,0,0,2021-08-24 10:51:39+01:00
1,1,0,0,1,0,2021-08-24 11:36:50+01:00
2,2,0,0,0,0,2021-08-24 12:46:12+01:00
2,2,0,0,0,0,2021-08-26 17:19:53+01:00
6,10,2,0,3,0,2021-09-24 10:37:55+01:00
0,0,0,0,0,0,2021-09-24 11:01:42+01:00
0,0,0,0,0,0,2021-09-24 11:02:57+01:00
0,0,0,0,0,0,2021-09-24 11:12:09+01:00
0,0,0,0,0,0,2021-09-24 11:12:49+01:00
0,0,0,0,0,0,2021-09-24 11:16:33+01:00
0,0,0,0,0,0,2021-09-24 11:21:14+01:00
1,1,0,0,0,0,2021-10-04 10:45:55+02:00
0,0,0,0,0,0,2021-10-04 10:48:09+02:00
0,0,0,0,0,0,2021-10-05 12:10:17+02:00
0,0,0,0,0,0,2021-10-29 12:02:35+01:00
0,0,0,0,0,0,2021-11-05 12:35:35+00:00
0,0,0,0,0,0,2021-11-17 14:48:45+00:00
0,2,0,0,0,0,2022-01-26 16:37:02+00:00
0,0,0,0,0,0,2022-01-26 16:38:17+00:00
0,0,0,0,0,0,2022-01-26 16:39:00+00:00
